3,12,1000
82,26,46
-95,-54,-108
-82,95,-28
123,-141,62
-51,-105,-17
-15,-137,12
53,-2,-76
-31,-99,141
-15,91,-2
-105,29,13
99,-38,-111
-4,69,-15
90,137,-17
-87,-138,44
-123,-38,90
11,149,103
-127,52,3
-1,-129,54
-9,58,-5
-109,-145,-74
54,105,90
146,3,9
33,-5,49
-134,58,61
61,138,-75
53,51,-75
6,126,-121
-141,-25,-47
115,-132,-139
12,-90,-81
88,114,-126
29,110,79
-112,46,-76
139,62,-115
51,25,-75
126,-72,126
-47,136,102
-17,-103,-21
86,-138,-2
149,76,58
-82,15,74
-6,-54,87
-25,36,-17
50,26,-53
137,-21,123
-88,-45,-47
-60,111,-8
-56,-56,39
73,-68,104
-79,-17,30
-119,104,-53
106,0,43
95,126,-18
-72,78,-90
25,117,39
50,-121,144
-94,21,-143
48,115,-49
-63,38,85
-57,-138,-29
124,-107,-75
-27,-99,127
-81,146,103
51,-76,83
-137,-148,50
52,52,131
98,108,2
106,58,-33
-41,-102,-144
-105,-9,-132
68,17,-37
143,141,15
-128,-38,63
126,-85,138
111,-72,-108
12,130,94
-7,78,105
146,34,13
-37,144,61
21,-59,-45
91,-141,122
-43,-96,-135
122,-74,-23
87,-46,42
75,-84,120
-131,78,-148
-134,-27,81
121,-31,17
36,135,63
0,58,-146
105,0,-85
129,-141,21
145,-117,98
24,120,-46
-31,98,72
-9,117,0
-6,133,-124
-23,-144,-5
144,43,32
58,-55,-59
62,-100,143
-120,-121,-148
51,-74,-63
51,-147,-93
-144,-28,-145
78,113,123
-19,-43,-142
7,84,-135
-96,131,110
139,39,-95
-18,3,-45
-25,33,36
29,-13,-135
116,-112,-132
-127,-54,-10
-69,-73,5
-44,58,113
-36,-33,99
-21,73,80
-61,62,-31
46,-106,-125
-97,71,58
90,-50,-105
-143,-32,-14
-125,44,82
67,125,-141
-78,-17,119
-63,97,-64
-61,-21,-88
-131,120,124
41,17,-79
66,70,142
26,62,-5
124,121,113
-40,-102,59
-108,115,34
-46,-60,-133
-77,79,-133
62,-132,-4
124,-112,18
-150,131,-115
-79,47,-142
-86,-77,70
59,-51,42
74,59,90
-16,-146,108
-80,-42,-50
-10,83,-121
7,47,-102
-95,73,-64
73,126,-31
109,-103,-134
117,13,-9
89,-26,91
33,-101,52
26,85,56
-16,-145,-84
84,-5,-98
113,-96,-149
-87,-41,75
51,-117,103
-130,-106,-150
-114,-87,66
80,-148,-110
73,88,-9
-25,-36,-74
-66,-150,-16
52,84,129
104,99,-116
-142,-137,45
135,64,78
88,85,-126
88,-127,-63
4,-145,-8
97,130,-70
-62,-44,96
67,92,96
-99,-6,82
-68,1,31
-34,9,96
-86,-6,11
142,-68,-2
-81,-78,73
6,129,131
148,128,111
-20,-84,-83
-74,-115,-89
-76,-64,56
-144,19,-41
90,-113,-130
36,-49,14
-51,-4,148
149,65,-28
73,-27,-49
54,24,-71
15,-146,48
135,-17,83
-104,57,-78
-146,116,143
15,56,-68
35,-58,86
-49,94,-68
1,93,-101
124,68,22
-23,24,-104
109,-58,-47
7,-73,138
-8,25,45
116,82,63
-139,-1,-31
-56,-115,114
-120,38,110
14,-110,53
63,-84,24
-13,43,-102
86,2,-10
-111,-89,119
-123,106,47
124,124,31
90,136,-120
-91,-70,-33
-75,12,-144
-115,-124,-52
141,89,14
67,-74,-93
115,-86,112
8,-47,-75
29,32,-119
-22,59,-92
-141,-1,-106
-58,58,26
59,-114,-112
117,-27,-86
-85,-36,-95
79,-119,33
-111,-101,98
-97,109,-47
-22,40,136
62,-131,45
120,-70,-106
-136,22,-146
92,-16,-58
130,-49,66
-54,69,-68
53,50,-36
-64,89,65
-116,142,76
-12,23,-34
26,-65,-15
-27,-95,118
17,-29,-10
73,-35,124
-134,-3,-22
82,93,-103
-136,-4,97
30,134,89
-3,-79,133
-77,111,6
92,-13,143
-21,110,-50
-53,29,123
140,-48,-62
114,20,85
-6,4,80
41,71,-22
41,-49,-37
32,-149,34
67,-24,-5
-24,-30,-116
-31,100,144
70,-51,75
43,-61,-123
-116,-44,100
119,100,-46
50,44,-125
-122,-13,29
43,-131,82
-73,86,-92
124,-88,29
-142,84,31
-148,4,130
77,-51,-80
-143,-17,26
-141,5,28
-37,-43,-78
41,37,59
-28,-69,130
-96,60,67
14,35,-119
-55,43,115
126,98,21
107,77,-127
-71,136,58
105,145,-87
-17,11,72
108,-98,-40
17,76,41
50,130,-49
19,-6,-112
50,90,82
68,118,30
-9,75,9
14,-94,-4
-77,-87,-9
38,99,-96
13,57,8
123,-24,-66
66,-124,-86
-81,45,111
-42,-2,103
-110,-84,71
122,57,49
-19,-26,105
-121,99,-131
73,39,118
127,-98,77
-14,-125,-97
70,91,-18
-113,-139,-123
148,21,25
101,61,143
22,85,103
-79,-32,-73
-71,50,-72
-52,-27,117
-32,2,-130
-105,138,-53
-52,111,-59
80,148,4
-140,-102,-125
87,149,138
133,73,125
86,-103,-57
-85,-24,-105
45,126,18
12,-56,-129
84,41,-89
-118,-109,-76
25,-126,-26
-121,-116,22
-44,-127,73
-56,-144,49
-81,144,96
64,-91,-26
110,-144,-50
30,19,96
51,5,-13
-135,89,28
-61,-36,52
64,45,86
-12,-149,-138
-88,-55,-132
111,66,-85
57,33,26
-119,-7,33
33,-127,-98
-21,127,57
116,-106,49
-6,-17,-137
-51,-51,59
-63,88,60
-51,-150,-92
-32,-137,124
33,122,7
-91,-95,-98
144,88,-22
-104,-31,-45
-144,-65,51
55,131,-64
120,-70,36
81,18,-26
-8,117,26
102,-13,91
76,-78,63
-14,34,118
90,28,108
-82,127,-73
75,-115,64
-24,142,97
63,112,-122
-51,96,98
125,-62,117
53,-110,7
46,-132,131
-41,56,15
-21,-3,-54
-63,65,-25
66,-9,10
32,-131,54
-21,82,68
7,-67,14
7,-40,102
-25,-137,-106
132,59,-35
113,-80,-129
31,49,18
-121,-112,-14
4,-144,-121
-84,38,-102
120,-132,131
38,77,-86
-45,-65,25
-41,112,90
4,94,52
-129,109,122
-108,42,74
113,71,-136
1,-23,-77
30,43,111
78,65,-119
59,6,109
-124,111,-54
103,-80,-92
43,126,-96
-55,147,-137
-30,-58,108
-54,-43,29
12,108,-91
85,-12,-146
47,-32,70
78,-122,-74
89,-44,-113
-115,-91,9
-57,102,-14
-3,-50,-17
63,122,127
21,-82,-66
-48,80,-56
11,68,134
16,-35,-47
-12,-55,33
116,-115,139
-147,-80,-102
64,66,-98
-100,-87,54
86,126,26
115,49,146
-48,-96,129
46,117,47
31,35,-86
-114,-127,9
69,139,96
58,-106,-133
-142,109,135
-90,-89,-102
115,147,-73
43,-135,126
92,-33,-120
71,-137,148
20,96,33
136,132,109
-5,51,98
-6,-41,-105
63,19,-146
48,80,-85
96,97,-35
-127,-10,-20
-98,-68,97
-16,-95,-138
34,127,109
-30,113,91
-71,11,45
-71,-145,-94
-26,68,76
30,-34,6
148,-36,5
15,-12,145
145,92,-20
144,-22,87
-92,-137,117
-133,35,80
-139,-134,-7
108,-55,-2
-136,122,-84
90,2,84
-2,52,-101
-147,-83,89
-99,-36,83
83,-42,-89
72,69,-24
39,138,-139
22,149,-123
-135,-141,25
66,-126,-3
-116,-134,-99
119,67,104
-80,122,-77
-141,-75,38
92,-142,-102
-95,133,117
32,74,106
95,-54,-143
-125,14,-133
50,-70,-57
-51,-36,-41
52,-67,-72
58,55,-99
132,64,-24
20,58,37
68,-134,72
36,100,-4
44,45,93
51,70,-43
120,22,37
-87,121,-97
75,76,39
-147,-16,-56
-44,18,-89
135,-112,-129
22,-141,-113
-4,97,137
142,-9,33
85,-56,5
-56,-85,-122
-117,-22,-99
-63,-45,127
126,-41,-38
-80,117,130
33,102,-79
55,26,-70
92,-128,-71
