Point_id,Cluster_id
0,182061
1,182061
2,182061
3,182061
4,182061
5,182061
6,182061
7,182061
8,182061
9,182061
10,182061
11,182061
12,182061
13,182061
14,182061
15,182061
16,182061
17,182061
18,182061
19,182061
20,182061
21,182061
22,182061
23,182061
24,182061
25,182061
26,182061
27,182061
28,182061
29,182061
30,182061
31,182061
32,182061
33,182061
34,182061
35,182061
36,182061
37,182061
38,182061
39,182061
40,182061
41,182061
42,182061
43,182061
44,182061
45,182061
46,182061
47,182061
48,182061
49,182061
50,182061
51,182061
52,182061
53,182061
54,182061
55,182061
56,182061
57,182061
58,182061
59,182061
60,182061
61,182061
62,182061
63,182061
64,182061
65,182061
66,182061
67,182061
68,182061
69,182061
70,182061
71,182061
72,182061
73,182061
74,182061
75,182061
76,182061
77,182061
78,182061
79,182061
80,182061
81,182061
82,182061
83,182061
84,182061
85,182061
86,182061
87,182061
88,182061
89,182061
90,182061
91,182061
92,182061
93,182061
94,182061
95,182061
96,182061
97,182061
98,182061
99,182061
100,182061
101,182061
102,182061
103,182061
104,182061
105,182061
106,182061
107,182061
108,182061
109,182061
110,182061
111,182061
112,182061
113,182061
114,182061
115,182061
116,182061
117,182061
118,182061
119,182061
120,182061
121,182061
122,182061
123,182061
124,182061
125,182061
126,182061
127,182061
128,182061
129,182061
130,182061
131,182061
132,182061
133,182061
134,182061
135,182061
136,182061
137,182061
138,182061
139,182061
140,182061
141,182061
142,182061
143,182061
144,182061
145,182061
146,182061
147,182061
148,182061
149,182061
150,182061
151,182061
152,182061
153,182061
154,182061
155,182061
156,182061
157,182061
158,182061
159,182061
160,182061
161,182061
162,182061
163,182061
164,182061
165,182061
166,182061
167,182061
168,182061
169,182061
170,182061
171,182061
172,182061
173,182061
174,182061
175,182061
176,182061
177,182061
178,182061
179,182061
180,182061
181,182061
182,182061
183,182061
184,182061
185,182061
186,182061
187,182061
188,182061
189,182061
190,182061
191,182061
192,182061
193,182061
194,182061
195,182061
196,182061
197,182061
198,182061
199,182061
200,182061
201,182061
202,182061
203,182061
204,182061
205,182061
206,182061
207,182061
208,182061
209,182061
210,182061
211,182061
212,182061
213,182061
214,182061
215,182061
216,182061
217,182061
218,182061
219,182061
220,182061
221,182061
222,182061
223,182061
224,182061
225,182061
226,182061
227,182061
228,182061
229,182061
230,182061
231,182061
232,182061
233,182061
234,182061
235,182061
236,182061
237,182061
238,182061
239,182061
240,182061
241,182061
242,182061
243,182061
244,182061
245,182061
246,182061
247,182061
248,182061
249,182061
250,182061
251,182061
252,182061
253,182061
254,182061
255,182061
256,182061
257,182061
258,182061
259,182061
260,182061
261,182061
262,182061
263,182061
264,182061
265,182061
266,182061
267,182061
268,182061
269,182061
270,182061
271,182061
272,182061
273,182061
274,182061
275,182061
276,182061
277,182061
278,182061
279,182061
280,182061
281,182061
282,182061
283,182061
284,182061
285,182061
286,182061
287,182061
288,182061
289,182061
290,182061
291,182061
292,182061
293,182061
294,182061
295,182061
296,182061
297,182061
298,182061
299,182061
300,182061
301,182061
302,182061
303,182061
304,182061
305,182061
306,182061
307,182061
308,182061
309,182061
310,182061
311,182061
312,182061
313,182061
314,182061
315,182061
316,182061
317,182061
318,182061
319,182061
320,182061
321,182061
322,182061
323,182061
324,182061
325,182061
326,182061
327,182061
328,182061
329,182061
330,182061
331,182061
332,182061
333,182061
334,182061
335,182061
336,182061
337,182061
338,182061
339,182061
340,182061
341,182061
342,182061
343,182061
344,182061
345,182061
346,182061
347,182061
348,182061
349,182061
350,182061
351,182061
352,182061
353,182061
354,182061
355,182061
356,182061
357,182061
358,182061
359,182061
360,182061
361,182061
362,182061
363,182061
364,182061
365,182061
366,182061
367,182061
368,182061
369,182061
370,182061
371,182061
372,182061
373,182061
374,182061
375,182061
